POS,PLAYER,GP,G,A,P,PIM,+/-
D,S.Jones,4,1,0,1,0,-5
C,A.Wennberg,4,0,1,1,2,-2
C,J.Guentzel,4,0,0,0,0,0
D,K.Quincey,4,0,0,0,2,-1
D,R.Murray,4,0,0,0,0,-4
RW,P.Kessel,4,0,0,0,0,1
D,D.Savard,4,0,0,0,0,0
C,M.Cullen,4,0,0,0,2,0
RW,C.Atkinson,4,0,0,0,2,-5
RW,J.Anderson,4,0,0,0,0,0
LW,C.Kunitz,4,0,0,0,2,-1
RW,T.Kuhnhackl,4,0,0,0,0,0
RW,N.Foligno,4,0,0,0,0,-4
D,Z.Werenski,4,0,0,0,0,0
D,O.Maatta,4,0,1,1,0,3
D,J.Johnson,4,0,1,1,2,0
LW,S.Hartnell,4,1,0,1,0,0
LW,L.Korpikoski,4,0,1,1,0,1
C,B.Dubinsky,4,0,1,1,2,-5
C,S.Gagner,4,0,1,1,0,-1
RW,M.Calvert,4,0,1,1,0,1
LW,B.Saad,4,0,1,1,0,-2
C,W.Karlsson,4,1,0,1,0,1
D,K.Letang,4,2,1,3,0,4
C,N.Bonino,4,1,2,3,0,1
C,S.Crosby,4,1,1,2,0,2
D,M.Strait,4,1,1,2,0,1
RW,P.Hornqvist,4,1,1,2,0,2
LW,B.Jenner,4,2,0,2,0,0
LW,C.Hagelin,4,1,0,1,0,3
C,E.Malkin,4,0,1,1,4,2
D,B.Dumoulin,4,0,1,1,0,2
D,T.Daley,4,0,1,1,0,1
D,R.Hainsey,4,0,1,1,0,0
C,B.Rust,4,1,0,1,0,0
LW,C.Sheary,4,1,0,1,0,3
