POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
RW,J.Neal,VGK,3,2,2,4,4,2
C,W.Karlsson,VGK,3,2,1,3,3,0
LW,D.Perron,VGK,3,1,2,3,1,2
D,D.Doughty,LAK,3,0,3,3,-2,2
C,C.Eakin,VGK,3,2,0,2,1,2
RW,D.Brown,LAK,3,2,0,2,-2,2
D,S.Theodore,VGK,3,1,1,2,2,0
LW,A.Kempe,LAK,3,1,1,2,-1,0
D,J.Merrill,VGK,3,0,2,2,1,2
D,J.Muzzin,LAK,3,0,2,2,-1,2
LW,T.Rieder,LAK,3,0,2,2,1,2
C,A.Kopitar,LAK,3,1,0,1,-4,0
RW,T.Lewis,LAK,3,1,0,1,1,0

C,P.Bellemare,VGK,3,1,0,1,0,0
C,J.Carter,LAK,3,1,0,1,-2,0
RW,J.Marchessault,VGK,3,1,0,1,3,2
RW,K.Clifford,LAK,3,1,0,1,-2,0
RW,T.Toffoli,LAK,3,1,0,1,-1,2
RW,A.Tuch,VGK,3,0,1,1,0,0
C,A.Iafallo,LAK,3,0,1,1,2,15
D,D.Phaneuf,LAK,3,0,1,1,0,0
C,T.Mitchell,LAK,3,0,1,1,-1,0
C,M.Grabovski,VGK,3,0,1,1,1,0
D,D.Engelland,VGK,3,0,1,1,1,2

LW,T.Pearson,LAK,3,0,1,1,-2,0
D,B.McNabb,VGK,3,0,1,1,0,0
D,C.Miller,VGK,3,0,1,1,2,6
D,D.Forbort,LAK,3,0,1,1,-2,0
D,N.Schmidt,VGK,3,0,1,1,2,0
RW,R.Smith,VGK,3,0,0,0,-2,0
RW,R.Reaves,VGK,3,0,0,0,-1,0
LW,T.Tatar,VGK,3,0,0,0,1,0
D,A.Martinez,LAK,3,0,0,0,-3,0
C,E.Haula,VGK,3,0,0,0,0,0
D,C.Folin,LAK,3,0,0,0,1,0
C,N.Thompson,LAK,3,0,0,0,-2,0

RW,R.Carpenter,VGK,0,0,0,0,0,0
C,T.Nosek,VGK,0,0,0,0,0,0
