POS,PlAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,M.Fleury,PIT,3,2,1,0,0,.822,2.63,37,45,8
G,J.Quick,LAK,3,1,1,1,0,.807,3.28,42,52,10
