POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,A.Vasilevskiy,TBL,3,2,1,0,0,.882,2,45,51,6
G,F.Andersen,TOR,3,1,2,0,0,.857,1.67,30,35,5
