POS,PLAYER,TEAM,GP,G,A,P,PIM,+/-
LW,A.Burrows,OTT,5,1,0,1,0,0
D,A.Markov,MTL,5,0,0,0,0,0
C,T.Plekanec,MTL,5,0,0,0,2,-4
RW,B.Gallagher,MTL,5,0,0,0,0,-4
D,N.Beaulieu,MTL,5,0,0,0,0,0
C,P.Danault,MTL,5,0,0,0,0,0
LW,J.de la Rose,MTL,5,0,0,0,0,2
C,D.Brassard,OTT,5,0,0,0,4,2
D,C.Ceci,OTT,5,0,0,0,0,1
D,J.Benn,MTL,5,0,0,0,0,-1
D,M.Methot,OTT,5,0,0,0,2,1
RW,B.Ryan,OTT,5,0,0,0,2,1
RW,T.Wingels,OTT,5,0,0,0,2,-1
RW,M.McCarron,MTL,5,0,0,0,0,0
LW,M.Hoffman,OTT,5,0,1,1,2,-1
D,J.Jokipakka,OTT,5,0,1,1,2,0
D,C.Wideman,OTT,5,1,0,1,0,-2
LW,D.King,MTL,5,1,0,1,0,-1
D,J.Petry,MTL,5,1,0,1,2,1
LW,C.MacArthur,OTT,5,1,0,1,6,0
RW,C.Neil,OTT,5,0,1,1,0,-2
D,D.Phaneuf,OTT,5,0,1,1,2,0
D,E.Karlsson,OTT,5,1,3,4,2,2
C,A.Martinsen,MTL,5,1,2,3,2,4
D,S.Weber,MTL,5,1,2,3,0,0
RW,A.Shaw,MTL,5,2,1,3,0,3
RW,A.Radulov,MTL,5,2,0,2,0,-1
RW,V.Stalberg,OTT,5,2,0,2,0,1
C,A.Galchenyuk,MTL,5,0,2,2,2,-1
D,A.Emelin,MTL,5,0,2,2,2,-1
LW,M.Pacioretty,MTL,5,0,2,2,0,-2
C,J.Pageau,OTT,5,0,2,2,0,0
C,K.Turris,OTT,5,1,0,1,2,0
LW,S.Ott,MTL,5,0,1,1,0,0
C,Z.Smith,OTT,5,1,0,1,4,1
RW,Ma.Stone,OTT,5,0,1,1,0,1
