POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,F.Andersen,TOR,2,2,0,0,0,.925,0.89,25,27,2
G,T.Rask,BOS,2,0,1,1,0,.868,2.23,33,38,5
