POS,PLAYER,GP,G,A,P,PIM,+/-
D,A.Pietrangelo,4,1,0,1,0,1
LW,R.Fabbri,4,1,0,1,0,0
C,R.Kesler,4,1,0,1,2,-3
D,S.Despres,4,0,0,0,0,0
RW,L.Shaw,4,0,0,0,0,-1
RW,R.Reeves,4,0,0,0,0,2
D,J.Manson,4,0,0,0,2,0
D,H.Lindholm,4,0,0,0,4,0
D,J.Edmundson,4,0,0,0,0,-2
RW,J.Boll,4,0,0,0,0,-1
RW,P.Eaves,4,0,0,0,2,0
D,J.Wisniewski,4,0,0,0,0,-2
D,J.Bouwmeester,4,0,0,0,0,3
C,N.Thompson,4,0,0,0,0,-1
D,C.Fowler,4,0,2,2,4,-3
C,A.Vermette,4,0,1,1,0,1
D,K.Bieksa,4,1,0,1,4,-1
RW,J.Silfverberg,4,1,0,1,0,0
C,R.Rakell,4,0,1,1,2,-1
LW,N.Ritchie,4,1,0,1,0,1
D,C.Parayko,4,0,1,1,0,4
D,C.Gunnarsson,4,0,1,1,0,1
RW,P.Berglund,4,0,1,1,0,0
RW,V.Tarasenko,4,6,3,9,0,1
C,P.Stastny,4,0,5,5,0,1
RW,C.Perry,4,2,2,4,2,-1
LW,J.Schwartz,4,3,0,3,0,-1
LW,A.Cogliano,4,0,3,3,0,-2
RW,N.Yakupov,4,1,2,3,0,3
LW,A.Steen,4,0,3,3,2,0
D,S.Vatanen,4,2,1,3,0,-3
LW,V.Sobotka,4,2,1,3,0,0
LW,D.Perron,4,1,1,2,0,1
C,K.Brodziak,4,1,1,2,0,2
C,R.Getzlaf,4,1,1,2,2,0
C,J.Lehtera,4,1,1,2,0,1
