POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
RW,K.Palmieri,NJD,2,1,2,3,1,0
LW,A.Killorn,TBL,2,1,1,2,1,0
LW,V.Gourde,TBL,2,1,1,2,2,0
LW,J.Miller,TBL,2,1,1,2,-1,0
D,D.Girardi,TBL,2,0,2,2,1,0
C,A.Cirelli,TBL,2,0,2,2,2,0
D,A.Stralman,TBL,2,0,2,2,1,0
LW,P.Maroon,NJD,2,0,2,2,0,5
C,S.Stamkos,TBL,2,1,0,1,1,2
D,R.McDonagh,TBL,2,1,0,1,1,2
C,B.Point,TBL,2,1,0,1,-2,0
LW,T.Hall,NJD,2,1,0,1,-1,0
LW,P.Zacha,NJD,2,1,0,1,1,0

E,T.Zajac,NJD,2,0,1,1,-1,0
C,T.Johnson,TBL,2,0,1,1,1,2
LW,O.Palat,TBL,2,0,1,1,1,0
D,M.Sergachev,TBL,2,0,1,1,-2,4
D,S.Vatanen,NJD,2,0,1,1,-2,2
RW,R.Callahan,TBL,2,0,0,0,1,0
RW,D.Stafford,NJD,2,0,0,0,0,0
D,A.Greene,NJD,2,0,0,0,-1,0
C,B.Boyle,NJD,2,0,0,0,-1,0
LW,M.Grabner,NJD,2,0,0,0,-1,0
D,B.Lovejoy,NJD,2,0,0,0,0,0
LW,C.Kunitz,TBL,2,0,0,0,0,0
LW,M.Johansson,NJD,2,0,0,0,-2,0

D,V,Hedman,TBL,2,0,0,0,1,9
D,J.Moore,NJD,2,0,0,0,0,0
C,C.Paquette,TBL,2,0,0,0,0,0
D,D.Severson,NJD,2,0,0,0,0,2
RW,N.Kucherov,TBL,2,0,0,0,-1,0
D,A.Sustr,TBL,2,0,0,0,1,2
C,N.Hischier,NJD,2,0,0,0,-3,0
LW,M.Wood,NJD,2,0,0,0,1,0
LW,J.Bratt,NJD,2,0,0,0,-1,0
D,W.Butcher,NJD,2,0,0,0,0,0
