POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,A.Vasilevskiy,TBL,2,2,0,0,0,.931,1.4,41,44,3
G,C.Schneider,NJD,2,0,1,1,0,.793,2.81,23,29,6
