POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,M.Murray,PIT,2,2,0,0,0,.800,3.01,24,30,6
G,B.Elliott,PHI,2,0,2,0,0,.725,5.53,29,40,11
