POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,M.Fleury,VGK,3,2,1,0,0,.846,2.59,44,52,8
G,J.Gibson,ANA,3,1,1,1,0,.795,2.94,35,44,9
