POS,PLAYER,GP,G,A,P,PIM,+/-
D,D.Schlemko,5,0,1,1,0,0
LW,P.Maroon,5,0,1,1,4,-2
C,M.Karlsson,5,1,0,1,0,-1
D,E.Gryba,5,0,1,1,0,-1
RW,J.Fontaine,1,0,1,1,0,1
D,K.Russell,5,0,0,0,0,1
D,M.Vlasic,5,0,0,0,2,2
D,D.Nurse,5,0,0,0,0,-1
LW,J.Donskoi,5,0,0,0,0,-1
RW,J.Ward,5,0,0,0,0,-1
C,C.Tierney,5,0,0,0,0,0
D,J.Braun,5,0,0,0,0,0
RW,T.Meier,5,0,0,0,0,0
D,A.Larsson,5,0,2,2,2,3
C,R.Nugent-Hopkins,5,1,1,2,0,-1
RW,Z.Kassian,5,0,2,2,0,2
C,L.Draisaitl,5,2,0,2,0,-1
C,T.Hertl,5,1,1,2,0,-2
LW,B.Pouliot,5,1,0,1,0,1
D,P.Martin,5,1,0,1,0,-2
D,A.Sekera,5,0,1,1,2,0
LW,M.Hendricks,5,1,0,1,2,1
C,D.Desharnais,4,1,0,1,0,1
RW,J.Pavelski,5,3,3,6,0,-1
C,J.Thornton,5,4,2,6,0,1
C,C.McDavid,5,2,2,4,0,2
RW,M.Boedker,5,0,4,4,0,1
C,L.Couture,5,1,3,4,0,-2
RW,J.Puljujarvi,5,2,1,3,0,-1
D,B.Burns,5,0,3,3,0,-2
LW,M.Lucic,5,2,1,3,4,2
C,M.Letestu,5,1,2,3,2,-1
RW,J.Eberle,5,1,2,3,0,1
RW,J.Hansen,5,2,1,3,2,2
D,B.Dillon,5,0,3,3,0,-2
LW,P.Marleau,5,1,1,2,0,-2
D,O.Klefbom,5,0,2,2,0,3
