POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,A.Vasilevskiy,TBL,3,2,1,0,0,.932,1.34,55,59,4
G,M.Fleury,VGK,3,1,2,0,0,.866,2.01,39,45,6
