POS,PLAYER,GP,G,A,P,PIM,+/-
LW,A.Burrows,5,1,0,1,0,0
D,A.Markov,5,0,0,0,0,0
C,T.Plekanec,5,0,0,0,2,-4
RW,B.Gallagher,5,0,0,0,0,-4
D,N.Beaulieu,5,0,0,0,0,0
C,P.Danault,5,0,0,0,0,0
LW,J.de,la,Rose,5,0,0,0,0,2
C,D.Brassard,5,0,0,0,4,2
D,C.Ceci,5,0,0,0,0,1
D,J.Benn,5,0,0,0,0,-1
D,M.Methot,5,0,0,0,2,1
RW,B.Ryan,5,0,0,0,2,1
RW,T.Wingels,5,0,0,0,2,-1
RW,M.McCarron,5,0,0,0,0,0
LW,M.Hoffman,5,0,1,1,2,-1
D,J.Jokipakka,5,0,1,1,2,0
D,C.Wideman,5,1,0,1,0,-2
LW,D.King,5,1,0,1,0,-1
D,J.Petry,5,1,0,1,2,1
LW,C.MacArthur,5,1,0,1,6,0
RW,C.Neil,5,0,1,1,0,-2
D,D.Phaneuf,5,0,1,1,2,0
D,E.Karlsson,5,1,3,4,2,2
C,A.Martinsen,5,1,2,3,2,4
D,S.Weber,5,1,2,3,0,0
RW,A.Shaw,5,2,1,3,0,3
RW,A.Radulov,5,2,0,2,0,-1
RW,V.Stalberg,5,2,0,2,0,1
C,A.Galchenyuk,5,0,2,2,2,-1
D,A.Emelin,5,0,2,2,2,-1
LW,M.Pacioretty,5,0,2,2,0,-2
C,J.Pageau,5,0,2,2,0,0
C,K.Turris,5,1,0,1,2,0
LW,S.Ott,5,0,1,1,0,0
C,Z.Smith,5,1,0,1,4,1
RW,M.Stone,5,0,1,1,0,1
