POS,PLAYER,GP,G,A,P,PIM,+/-
LW,E.Staal,4,0,0,0,0,-1
LW,Z.Parise,4,0,0,0,0,0
C,M.Koivu,4,0,0,0,2,-1
RW,C.Stewart,4,0,0,0,0,-3
RW,R.White,4,0,0,0,0,0
RW,R.Reeves,4,0,0,0,0,0
C,K.Brodziak,4,0,0,0,0,1
D,J.Brodin,4,0,0,0,0,-3
D,C.Folin,4,0,0,0,2,-1
C,E.Haula,4,0,0,0,0,-2
RW,N.Niederreiter,4,0,0,0,2,-3
LW,R.Fabbri,4,0,0,0,0,-1
RW,C.Coyle,4,0,0,0,2,-2
D,C.Parayko,4,0,0,0,0,3
RW,V.Tarasenko,4,1,0,1,0,1
C,M.Granlund,4,0,1,1,2,0
D,J.Spurgeon,4,1,0,1,0,0
D,M.Scandella,4,1,0,1,0,-2
D,M.Dumba,4,0,1,1,4,-4
RW,J.Pominville,4,0,1,1,0,0
LW,A.Steen,4,1,0,1,0,1
D,J.Wisniewski,4,0,1,1,0,0
C,P.Stastny,4,3,1,4,0,3
LW,J.Schwartz,4,1,3,4,0,5
D,A.Pietrangelo,4,0,2,2,0,2
D,J.Bouwmeester,4,0,2,2,0,3
LW,V.Sobotka,4,0,2,2,0,0
LW,J.Zucker,4,1,1,2,2,0
LW,D.Perron,4,2,0,2,2,4
D,C.Gunnarsson,4,0,1,1,2,2
C,J.Lehtera,4,0,1,1,0,1
D,R.Suter,4,0,1,1,0,0
RW,P.Berglund,4,1,0,1,2,0
D,J.Edmundson,4,0,1,1,0,0
C,M.Hanzal,4,0,1,1,2,-3
RW,N.Yakupov,4,0,1,1,2,0
