POS,PLAYER,GP,G,A,P,PIM,+/-
LW,M.Salomaki,2,0,1,1,2,1
D,M.Irwin,4,0,1,1,0,-1
C,A.Desjardins,4,0,0,0,0,0
RW,R.Panik,4,0,0,0,4,-1
LW,M.Latta,4,0,0,0,0,0
RW,R.Hartman,4,0,0,0,2,-1
RW,V.Fiddler,4,0,0,0,0,0
D,Y.Weber,4,0,0,0,0,0
C,M.Fisher,4,0,0,0,0,-1
D,T.Van Riemsdyk,4,0,0,0,4,3
RW,A.Watson,4,0,0,0,2,0
D,M.Ekholm,4,0,0,0,2,0
LW,C.McLeod,2,0,0,0,2,0
RW,P.Parenteau,4,0,0,0,0,-1
RW,J.Neal,4,2,0,2,6,-3
C,M.Kruger,4,0,2,2,0,2
D,P.Subban,4,0,2,2,2,0
RW,C.Smith,4,1,1,2,0,1
D,J.Oduya,4,0,1,1,4,0
D,B.Seabrook,4,0,1,1,2,2
LW,A.Panarin,4,0,1,1,2,1
LW,C.Wilson,4,1,0,1,0,-1
D,R.Ellis,4,0,1,1,0,-2
RW,C.Jarnkrok,4,1,0,1,0,-1
RW,M.Hossa,4,2,2,4,2,4
C,J.Toews,4,3,1,4,0,-1
RW,P.Kane,4,2,1,3,0,-1
C,A.Anisimov,4,2,1,3,0,3
C,R.Johansen,4,1,2,3,0,-3
RW,T.Jurco,4,2,1,3,0,2
D,R.Josi,4,0,3,3,2,-3
D,B.Campbell,4,0,2,2,0,1
RW,V.Arvidsson,4,1,1,2,0,-4
C,N.Schmaltz,4,1,1,2,4,2
D,D.Keith,4,0,2,2,0,-1
LW,F.Forsberg,4,2,0,2,0,-2
D,N.Hjalmarsson,4,0,2,2,0,4
