POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,B.Holtby,WSH,3,2,1,0,0,.870,2.34,47,54,7
G,M.Murray,PIT,3,1,2,0,1,.900,1.67,45,50,5
