POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,GAA,S,SA,GA
G,B.Holtby,WSH,2,2,0,0,0,.861,2.21,31,36,5
G,S.Bobrovsky,CBJ,2,0,1,1,0,.844,3.1,38,45,7
