POS,PLAYER,GP,G,A,P,PIM,+/-
D,K.Miller,5,0,1,1,0,4
D,T.Krug,5,0,1,1,4,-3
D,C.McAvoy,5,0,1,1,0,0
D,M.Methot,5,0,0,0,2,1
C,K.Turris,5,0,0,0,0,-2
D,E.Karlsson,5,0,0,0,4,-1
D,Z.Chara,5,0,0,0,2,-2
D,A.McQuaid,5,0,0,0,0,2
D,J.Jokipakka,5,0,0,0,0,1
C,R.Nash,5,0,0,0,0,0
RW,J.Hayes,5,0,0,0,0,-1
D,B.Carlo,5,0,0,0,2,-3
RW,D.Pastrnak,5,0,0,0,4,-6
LW,F.Vatrano,5,0,0,0,0,0

C,D.Moore,5,0,2,2,0,0
RW,M.Stone,5,0,2,2,0,-1
RW,C.Neil,5,0,1,1,2,2
LW,A.Burrows,5,0,1,1,0,0
RW,B.Ryan,5,0,1,1,0,-1
C,J.Pageau,5,1,0,1,2,0
C,D.Backes,5,1,0,1,6,-3
LW,M.Beleskey,5,1,0,1,0,-7
C,R.Spooner,5,1,0,1,0,3

D,C.Ceci,5,1,3,4,0,3
LW,C.MacArthur,5,1,2,3,0,0
RW,V.Stalberg,5,2,1,3,15,3
C,P.Bergeron,5,2,1,3,0,1
LW,B.Marchand,5,0,2,2,0,2
LW,M.Hoffman,5,1,1,2,4,-1
RW,T.Wingels,5,1,1,2,0,1
D,D.Phaneuf,5,1,1,2,4,0
D,C.Wideman,5,0,2,2,0,0
RW,D.Stafford,5,2,0,2,0,0
C,D.Brassard,5,0,2,2,0,1
C,D.Krejci,5,1,1,2,0,2
C,Z.Smith,5,2,0,2,6,2
