R1-G1,CHI,NAS,,,
R1-G2,MIN,STL,,,
R1-G3,ANA,CGY,1-0,2-1,4-0
R1-G4,EDM,SJS,,,
R1-G5,MTL,NYR,1-0 (OT),3-1,3-2 (OT)
R1-G6,OTT,BOS,,,
R1-G7,WSH,TOR,,,
R1-G8,PIT,CBJ,,,
DF-G1,TBD,TBD,,,
DF-G2,ANA,TBD,,,
DF-G3,MTL,TBD,,,
DF-G4,TBD,TBD,,,
CF-G1,TBD,TBD,,,
CF-G2,TBD,TBD,,,
BRC,TBD,TBD,,,
