POS,PLAYER,GP,G,A,P,PIM,+/-
C,J.Beagle,4,0,0,0,2,0
D,K.Alzner,4,0,0,0,2,0
C,L.Eller,4,0,0,0,0,-1
RW,B.Connolly,4,0,0,0,0,1
RW,T.Wilson,4,0,0,0,0,0
RW,P.Hornqvist,4,0,0,0,0,0
C,N.Bonino,4,0,0,0,0,0
D,D.Orlov,4,0,0,0,0,0
C,S.Crosby,4,0,0,0,0,-2
LW,C.Hagelin,4,0,0,0,0,-3
D,T.Daley,4,0,0,0,0,0
C,B.Rust,4,0,0,0,0,1
LW,C.Sheary,4,0,0,0,2,-2
C,J.Guentzel,4,0,0,0,0,1

D,J.Carlson,4,0,1,1,2,3
D,O.Maatta,4,0,1,1,0,-3
D,B.Dumoulin,4,0,1,1,0,-3
C,E.Kuznetsov,4,1,0,1,2,3
D,K.Letang,4,1,0,1,5,-1
RW,P.Kessel,4,1,0,1,0,-5
C,E.Malkin,4,0,1,1,0,-2
RW,J.Williams,4,0,0,0,0,0
D,M.Niskanen,4,0,0,0,0,0

C,N.Backstrom,4,1,3,4,0,0
D,B.Orpik,4,1,2,3,2,3
RW,T.Kuhnhackl,4,2,1,3,0,2
LW,M.Johansson,4,2,1,3,0,3
LW,A.Ovechkin,4,1,1,2,5,-1
D,K.Shattenkirk,4,0,2,2,0,0
RW,A.Burakovsky,4,1,1,2,0,0
C,M.Cullen,4,0,1,1,2,1
LW,D.Winnik,4,1,0,1,0,1
D,R.Hainsey,4,1,0,1,0,1
RW,T.Oshie,4,0,1,1,0,3
LW,C.Kunitz,4,0,1,1,2,1
D,M.Streit,4,1,0,1,0,0
