POS,PLAYER,TEAM,GP,W,L,OTL,SO,SV%,G,S,SA,GA
G,J.Gibson,ANA,3,2,1,0,0,.916,1.3,44,48,4
G,M.Jones,SJS,3,1,1,1,1,.884,1.95,46,52,6
