POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
C,R.Getzlaf,ANA,3,1,1,2,1,2
D,D.DeMelo,SJS,3,1,1,2,2,0
LW,J.Donskoi,SJS,3,1,1,2,1,0
C,C.Tierney,SJS,3,1,1,2,2,0
D,C.Fowler,ANA,3,0,2,2,-1,4
RW,M.Boedker,SJS,3,0,2,2,2,0
D,F.Beauchemin,ANA,3,1,0,1,-1,0
C,R.Rakell,ANA,3,1,0,1,0,0
RW,J.Hansen,SJS,3,1,0,1,1,0
D,J.Manson,ANA,3,0,1,1,2,0
D,B.Montour,ANA,3,0,1,1,1,4
D,M.Vlasic,SJS,3,0,1,1,-1,0
C,T.Hertl,SJS,3,0,1,1,1,2
D,K.Bieksa,ANA,3,0,1,1,-1,0
RW,J.Silfverberg,ANA,3,0,1,1,2,0
D,H.Lindholm,ANA,3,0,1,1,4,0
C,R.Kesler,ANA,3,0,0,0,2,0
C,A.Vermette,ANA,3,0,0,0,0,0
RW,C.Perry,ANA,3,0,0,0,1,0
RW,P.Eaves,ANA,3,0,0,0,0,2
RW,J.Ward,SJS,3,0,0,0,0,0
D,B.Burns,SJS,3,0,0,0,-3,0
C,J.Thornton,SJS,3,0,0,0,-4,0
RW,O.Kase,ANA,3,0,0,0,1,0
RW,J.Brown,SJS,3,0,0,0,-2,0

LW,E.Kane,SJS,3,0,0,0,-4,0
C,L.Couture,SJS,3,0,0,0,1,0
C,M.Karlsson,SJS,3,0,0,0,V1,0
LW,N.Richie,ANA,3,0,0,0,-1,0
D,B.Dillon,SJS,3,0,0,0,2,2
C,A.Henrique,ANA,3,0,0,0,-1,2
D,J.Braun,SJS,3,0,0,0,-1,0
RW,J.Pavelski,SJS,3,0,0,0,-5,2
LW,K.Labanc,SJS,3,0,0,0,0,2
