POS,PLAYER,TEAM,GP,W,L,OTL,S0,SV%,GAA,S,SA,GA
G,S.Varlamov,COL,3,2,1,O,1,0.829,2.33,34,41,7
G,P.Rinne,NAS,3,1,2,0,0,0.857,3.34,60,70,10
