POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
LW,C.Wilson,COL,2,2,1,3,3,2
LW,M.Rantanen,COL,2,2,0,2,2,2
D,N.Zadorov,COL,2,1,1,2,2,0
C,A.Kerfoot,COL,2,0,2,2,4,0
D,E.Johnson,COL,2,1,0,1,2,0
RW,B.Comeau,COL,2,0,1,1,1,0
C,C.Soderberg,COL,2,0,1,1,1,0
LW,G.Landeskog,COL,2,0,1,1,2,2
D,P.Nemeth,COL,2,0,1,1,3,2
RW,N.Yakupov,COL,2,0,1,1,2,0
C,N.MacKinnon,COL,2,0,1,1,1,0
C,E.Staal,MIN,2,0,0,0,-3,0
LW,Z.Parise,MIN,2,0,0,0,0,0

D,R.Suter,MIN,2,0,0,0,-1,0
C,M.Koivu,MIN,2,0,0,0,-2,0
LW,D.Winnik,MIN,2,0,0,0,0,0
RW,T.Ennis,MIN,2,0,0,0,0,0
C,M.Granlund,MIN,2,0,0,0,-2,0
RW,N.Niederreiter,MIN,2,0,0,0,-5,0
D,J.Spurgeon,MIN,2,0,0,0,-3,0
LW,M.Foligno,MIN,2,0,0,0,0,0
D,N.Prosser,MIN,2,0,0,0,-1,0
D,J.Brodin,MIN,2,0,0,0,-4,0
D,M.Dumba,MIN,2,0,0,0,-2,0
D,M.Barberio,COL,2,0,0,0,1,0
D,G.Olofsson,MIN,2,0,0,0,-2,2

D,T.Barrie,COL,2,0,0,0,1,0
C,J.Eriksson Ek,MIN,2,0,0,0,-1,0
RW,S.Andrighetto,COL,2,0,0,0,1,0
LW,J.Zucker,MIN,2,0,0,0,-3,0
C,C.Coyle,MIN,2,0,0,0,0,0
LW,M.Nietto,COL,2,0,0,0,0,0
D,S.Girard,COL,2,0,0,0,3,0
C,J.Compher,COL,2,0,0,0,0,0
C,T.Jost,COL,2,0,0,0,0,2
C,M.Cullen,MIN,2,0,0,0,-1,0
